"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"505","good",">$300",6,"paid back","used car",1709.4,">1400","1-5 years","> 35","married/widowed","male","1-5 years","car",25,"no further running credits","rented","2- 4","skilled employee"
"506","good","no balance",36,"no previous credits","repair",3182.2,"no savings","5-8 years","15- 25","single","male","< 1 year","life insurance",30,"no further running credits","rented","2- 4","skilled employee"
"507","good","<= $300",24,"no previous credits","furniture",7212.8,"no savings","5-8 years","< 15","single","male","1-5 years","life insurance",23,"at other banks","rented","one","skilled employee"
"508","good","<= $300",6,"no previous credits","other",992.6,"700-1400","<1 year","25-35","married/widowed","male","1-5 years","no assets",25,"no further running credits","rented","one","unskilled with no permanant residence"
"509","bad","no balance",12,"no previous credits","furniture",2147.6,"no savings","<1 year","> 35","married/widowed","male","< 1 year","no assets",21,"no further running credits","free","one","skilled employee"
"510","good","no balance",36,"no previous credits","furniture",6713,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","ownership of house or land",28,"no further running credits","rented","one","executive/self-employed"
"511","bad","no balance",8,"no previous credits","used car",1731.8,"no savings","1-5 years","15- 25","divorced/living apart/married","female",">8 years","no assets",22,"no further running credits","rented","one","skilled employee"
"512","bad","<= $300",21,"paid back","repair",3246.6,"no savings","<1 year","25-35","divorced/living apart","male","< 1 year","life insurance",31,"no further running credits","free","one","skilled employee"
"513","good","no running account",6,"no previous credits","other",1684.2,"<140","> 8 years","15- 25","single","male","1-5 years","car",41,"no further running credits","rented","one","skilled employee"
"514","good","no balance",9,"no previous credits","furniture",1106,"140-700","1-5 years","< 15","divorced/living apart/married","female","5-8 years","no assets",64,"no further running credits","rented","one","unskilled with permanant residence"
"515","good","no running account",24,"no previous credits","used car",5628,"no savings","1-5 years","25-35","single","male","1-5 years","life insurance",25,"at department store","rented","one","skilled employee"
"516","good","no running account",30,"paid back","new car",14872.2,"no savings","> 8 years","15- 25","single","male",">8 years","ownership of house or land",36,"no further running credits","owned","5- 6","executive/self-employed"
"517","good",">$300",21,"paid back","used car",3203.2,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","car",21,"no further running credits","rented","one","skilled employee"
"518","good","no running account",9,"paid back","furniture",1593.2,"no savings","1-5 years","< 15","single","male",">8 years","no assets",23,"no further running credits","rented","2- 4","unskilled with permanant residence"
"519","good","no balance",7,"no previous credits","furniture",3606.4,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",33,"no further running credits","rented","one","skilled employee"
"520","good",">$300",27,"no previous credits","household appliances",7266,">1400","> 8 years","< 15","single","male",">8 years","car",46,"no further running credits","rented","7 or more","skilled employee"
"521","good",">$300",6,"no previous credits","used car",2472.4,"no savings","1-5 years","> 35","married/widowed","male","1-5 years","car",19,"no further running credits","free","one","skilled employee"
"522","good",">$300",6,"paid back","furniture",980,">1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",34,"no further running credits","owned","2- 4","skilled employee"
"523","good","no running account",42,"paid back","household appliances",4751.6,"no savings","unemployed","< 15","single","male",">8 years","life insurance",63,"no further running credits","rented","2- 4","unskilled with no permanant residence"
"524","good","<= $300",10,"no previous credits","used car",1785,"no savings","<1 year","< 15","divorced/living apart/married","female","1-5 years","car",21,"no further running credits","rented","one","skilled employee"
"525","good",">$300",9,"paid back","other",1713.6,"no savings","1-5 years","15- 25","single","male","< 1 year","no assets",28,"no further running credits","rented","2- 4","skilled employee"
"526","bad","no balance",24,"no previous credits","new car",17610.6,"no savings","> 8 years","< 15","divorced/living apart/married","female","1-5 years","ownership of house or land",42,"no further running credits","owned","one","executive/self-employed"
"527","good",">$300",36,"paid back","new car",7995.4,"700-1400","> 8 years","< 15","single","male","1-5 years","life insurance",36,"no further running credits","rented","2- 4","executive/self-employed"
"528","good","no running account",24,"no previous credits","used car",4408.6,"no savings","<1 year","< 15","single","male","< 1 year","ownership of house or land",20,"at other banks","owned","one","skilled employee"
"529","good","no balance",6,"no previous credits","furniture",677.6,"no savings","5-8 years","15- 25","married/widowed","male","5-8 years","no assets",26,"at other banks","rented","one","unskilled with permanant residence"
"530","good",">$300",6,"no previous credits","vacation",1733.2,">1400","unemployed","< 15","single","male",">8 years","car",34,"no further running credits","rented","one","executive/self-employed"
"531","good","<= $300",30,"paid back","furniture",5118.4,">1400","> 8 years","< 15","single","male",">8 years","car",47,"at department store","rented","2- 4","unskilled with permanant residence"
"532","good",">$300",21,"no previous credits","retraining",2200.8,"700-1400","> 8 years","< 15","divorced/living apart/married","female",">8 years","no assets",34,"at other banks","rented","one","unskilled with permanant residence"
"533","good","no balance",12,"no previous credits","vacation",1055.6,">1400","> 8 years","< 15","single","male",">8 years","car",36,"no further running credits","rented","2- 4","skilled employee"
"534","bad","no running account",33,"paid back","used car",5993.4,"140-700","1-5 years","> 35","divorced/living apart/married","female",">8 years","life insurance",21,"no further running credits","rented","2- 4","skilled employee"
"535","bad","no running account",24,"problematic running accounts","retraining",4425.4,"no savings","1-5 years","< 15","single","male","1-5 years","car",29,"at other banks","free","one","skilled employee"
"536","good",">$300",36,"paid back","other",9259.6,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",32,"no further running credits","rented","2- 4","executive/self-employed"
"537","good","no running account",6,"paid back","other",852.6,"no savings","5-8 years","< 15","divorced/living apart/married","female","5-8 years","car",35,"no further running credits","rented","2- 4","skilled employee"
"538","good",">$300",6,"paid back","furniture",1731.8,"<140","1-5 years","> 35","divorced/living apart/married","female","< 1 year","car",25,"no further running credits","rented","2- 4","skilled employee"
"539","bad","no running account",12,"problematic running accounts","furniture",876.4,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","no assets",22,"at other banks","rented","one","unskilled with permanant residence"
"540","good","no balance",15,"no previous credits","household appliances",3683.4,"<140","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","no assets",23,"no further running credits","rented","one","unskilled with permanant residence"
"541","good","no running account",6,"no previous credits","other",1923.6,">1400","unemployed","< 15","divorced/living apart/married","female","5-8 years","car",73,"no further running credits","rented","one","executive/self-employed"
"542","good",">$300",6,"no problems with current credits","furniture",1309,"no savings","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","no assets",22,"no further running credits","rented","one","skilled employee"
"543","good",">$300",18,"no previous credits","retraining",2195.2,"<140","1-5 years","15- 25","divorced/living apart/married","female",">8 years","car",22,"no further running credits","free","one","unskilled with permanant residence"
"544","good","no running account",12,"no previous credits","used car",3609.2,"no savings","unemployed","15- 25","divorced/living apart/married","female",">8 years","ownership of house or land",53,"no further running credits","owned","one","executive/self-employed"
"545","bad","no running account",18,"no previous credits","television",1703.8,"no savings","1-5 years","< 15","married/widowed","male","5-8 years","no assets",45,"no further running credits","rented","one","unskilled with permanant residence"
"546","good","no running account",12,"no problems with current credits","other",1881.6,"no savings","1-5 years","< 15","single","male","1-5 years","no assets",41,"no further running credits","rented","2- 4","unskilled with permanant residence"
"547","bad","<= $300",18,"no previous credits","used car",4009.6,"no savings","1-5 years","25-35","single","male","< 1 year","no assets",32,"no further running credits","rented","one","unskilled with permanant residence"
"548","bad","no balance",72,"no previous credits","furniture",7833,"<140","1-5 years","25-35","married/widowed","male","1-5 years","life insurance",22,"no further running credits","rented","one","skilled employee"
"549","good","no balance",12,"paid back","furniture",5002.2,"no savings","1-5 years","> 35","divorced/living apart/married","female","< 1 year","no assets",21,"no further running credits","rented","one","unskilled with permanant residence"
"550","good",">$300",24,"no previous credits","new car",8838.2,">1400","> 8 years","15- 25","single","male",">8 years","life insurance",39,"no further running credits","rented","one","executive/self-employed"
"551","bad","no running account",12,"paid back","other",6780.2,"no savings","> 8 years","15- 25","single","male",">8 years","car",41,"no further running credits","free","2- 4","skilled employee"
"552","good",">$300",5,"no previous credits","retraining",4827.2,"no savings","5-8 years","> 35","single","male",">8 years","no assets",72,"no further running credits","rented","one","unskilled with permanant residence"
"553","good",">$300",9,"no previous credits","other",5007.8,"<140","1-5 years","> 35","single","male","1-5 years","no assets",24,"no further running credits","free","one","skilled employee"
"554","good",">$300",24,"paid back","repair",2235.8,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",52,"no further running credits","owned","2- 4","skilled employee"
"555","good","no balance",9,"no previous credits","other",2168.6,">1400","<1 year","< 15","single","male","1-5 years","no assets",33,"no further running credits","rented","one","unskilled with no permanant residence"
"556","good","no balance",48,"problematic running accounts","retraining",4992.4,"<140","5-8 years","< 15","single","male","1-5 years","life insurance",28,"no further running credits","rented","one","skilled employee"
"557","good","no running account",36,"paid back","used car",3287.2,"no savings","1-5 years","15- 25","married/widowed","male","1-5 years","car",44,"no further running credits","rented","2- 4","skilled employee"
"558","good","no balance",60,"no problems with current credits","furniture",12819.8,">1400","1-5 years","25-35","single","male","1-5 years","ownership of house or land",25,"no further running credits","owned","one","executive/self-employed"
"559","good","no running account",39,"paid back","used car",19850.6,">1400","5-8 years","< 15","single","male",">8 years","car",28,"no further running credits","rented","2- 4","executive/self-employed"
"560","good",">$300",6,"no previous credits","furniture",2951.2,"no savings","5-8 years","25-35","married/widowed","male","1-5 years","no assets",27,"no further running credits","free","one","skilled employee"
"561","good",">$300",24,"no previous credits","furniture",4347,">1400","<1 year","< 15","single","male","1-5 years","life insurance",23,"no further running credits","rented","2- 4","skilled employee"
"562","good",">$300",9,"no previous credits","television",1730.4,"no savings","<1 year","> 35","divorced/living apart/married","female",">8 years","no assets",21,"no further running credits","free","one","skilled employee"
"563","good","no running account",36,"no previous credits","used car",5542.6,"no savings","unemployed","< 15","single","male","5-8 years","car",28,"no further running credits","rented","one","executive/self-employed"
"564","bad","no balance",24,"no previous credits","business",15859.2,"no savings","1-5 years","25-35","single","male","5-8 years","life insurance",27,"at other banks","rented","2- 4","executive/self-employed"
"565","good",">$300",15,"paid back","used car",4680.2,"no savings","1-5 years","< 15","single","male","1-5 years","ownership of house or land",26,"no further running credits","owned","one","skilled employee"
"566","good","no balance",12,"no previous credits","furniture",1544.2,"no savings","5-8 years","< 15","single","male","5-8 years","no assets",27,"no further running credits","rented","2- 4","skilled employee"
"567","good",">$300",21,"no previous credits","new car",7347.2,">1400","1-5 years","> 35","single","male","5-8 years","life insurance",24,"no further running credits","rented","one","skilled employee"
"568","good","no running account",9,"paid back","household appliances",1803.2,"<140","> 8 years","15- 25","single","male",">8 years","no assets",46,"no further running credits","rented","2- 4","skilled employee"
"569","good","no running account",21,"paid back","other",2242.8,"no savings","> 8 years","< 15","married/widowed","male","5-8 years","life insurance",28,"no further running credits","rented","2- 4","skilled employee"
"570","bad","no running account",18,"problematic running accounts","used car",2174.2,"no savings","1-5 years","< 15","single","male","5-8 years","life insurance",42,"at other banks","rented","one","skilled employee"
"571","bad","no balance",15,"no previous credits","other",3683.4,"<140","1-5 years","25-35","divorced/living apart/married","female",">8 years","life insurance",26,"no further running credits","free","2- 4","skilled employee"
"572","good",">$300",36,"no previous credits","repair",12677,">1400","1-5 years","25-35","single","male",">8 years","ownership of house or land",33,"no further running credits","owned","one","unskilled with permanant residence"
"573","good","no balance",18,"no previous credits","retraining",2678.2,"700-1400","<1 year","15- 25","married/widowed","male","5-8 years","no assets",34,"at other banks","rented","one","skilled employee"
"574","good",">$300",21,"no problems with current credits","new car",4190.2,"no savings","1-5 years","15- 25","single","male","1-5 years","no assets",26,"at department store","rented","2- 4","unskilled with permanant residence"
"575","good","<= $300",42,"hesistant","retraining",8804.6,"no savings","<1 year","25-35","divorced/living apart","male","< 1 year","car",31,"no further running credits","rented","2- 4","skilled employee"
"576","bad","no running account",24,"no previous credits","other",1281,">1400","> 8 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",27,"at other banks","rented","one","skilled employee"
"577","bad","<= $300",18,"no previous credits","furniture",2940,"no savings","1-5 years","< 15","single","male","1-5 years","no assets",35,"no further running credits","rented","one","skilled employee"
"578","good",">$300",36,"paid back","new car",8178.8,"no savings","> 8 years","25-35","single","male","1-5 years","car",33,"no further running credits","rented","2- 4","skilled employee"
"579","good","no balance",18,"paid back","used car",8905.4,"no savings","> 8 years","25-35","single","male","< 1 year","ownership of house or land",39,"no further running credits","rented","one","skilled employee"
"580","good","no running account",21,"no previous credits","furniture",4699.8,"700-1400","<1 year","< 15","divorced/living apart/married","female","1-5 years","life insurance",27,"at other banks","rented","one","skilled employee"
"581","good","no balance",24,"no previous credits","furniture",4054.4,"<140","<1 year","25-35","single","male","< 1 year","life insurance",27,"no further running credits","rented","one","skilled employee"
"582","good","no running account",18,"no previous credits","other",3148.6,"<140","5-8 years","< 15","single","male","5-8 years","life insurance",28,"no further running credits","rented","one","executive/self-employed"
"583","bad","no running account",24,"problematic running accounts","business",1901.2,">1400","> 8 years","< 15","single","male","5-8 years","life insurance",38,"at department store","rented","one","executive/self-employed"
"584","good","no balance",6,"no previous credits","furniture",515.2,">1400","> 8 years","< 15","single","male",">8 years","car",36,"no further running credits","rented","one","skilled employee"
"585","good","<= $300",24,"no previous credits","used car",4048.8,"no savings","> 8 years","15- 25","divorced/living apart","male",">8 years","ownership of house or land",49,"no further running credits","owned","one","skilled employee"
"586","good","no running account",18,"no previous credits","furniture",4912.6,"no savings","5-8 years","< 15","divorced/living apart/married","female","< 1 year","no assets",23,"no further running credits","rented","one","skilled employee"
"587","good","no running account",12,"no previous credits","used car",2268,"no savings","1-5 years","25-35","divorced/living apart/married","female","5-8 years","car",28,"no further running credits","rented","one","skilled employee"
"588","bad","no running account",12,"problematic running accounts","other",975.8,"no savings","<1 year","< 15","single","male","1-5 years","life insurance",44,"at other banks","rented","2- 4","skilled employee"
"589","good",">$300",24,"no previous credits","other",2063.6,"<140","<1 year","< 15","married/widowed","male","5-8 years","no assets",31,"no further running credits","rented","one","skilled employee"
"590","good","<= $300",15,"paid back","new car",3304,"140-700","1-5 years","25-35","single","male","1-5 years","life insurance",34,"no further running credits","rented","one","skilled employee"
"591","good","no balance",9,"no previous credits","used car",2842,">1400","5-8 years","25-35","single","male","< 1 year","life insurance",22,"no further running credits","rented","one","skilled employee"
"592","good","no running account",6,"paid back","other",1905.4,"no savings","<1 year","25-35","single","male",">8 years","no assets",38,"no further running credits","rented","one","unskilled with permanant residence"
"593","bad","no running account",45,"hesistant","retraining",16542.4,"no savings","> 8 years","25-35","single","male",">8 years","life insurance",27,"no further running credits","free","2- 4","skilled employee"
"594","good","<= $300",10,"paid back","other",1093.4,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",61,"no further running credits","owned","2- 4","skilled employee"
"595","bad","no running account",9,"no previous credits","other",915.6,"no savings","1-5 years","< 15","single","male","5-8 years","life insurance",26,"no further running credits","rented","one","unskilled with permanant residence"
"596","good","no balance",12,"no previous credits","used car",4223.8,"no savings","<1 year","15- 25","divorced/living apart/married","female","< 1 year","no assets",32,"no further running credits","free","one","executive/self-employed"
"597","good",">$300",12,"no previous credits","furniture",1240.4,">1400","1-5 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",19,"no further running credits","rented","one","skilled employee"
"598","good","no balance",24,"no previous credits","furniture",5261.2,"140-700","unemployed","> 35","divorced/living apart/married","female",">8 years","ownership of house or land",21,"no further running credits","free","one","unskilled with no permanant residence"
"599","good",">$300",15,"no previous credits","furniture",1940.4,">1400","1-5 years","< 15","married/widowed","male","1-5 years","no assets",38,"no further running credits","free","one","skilled employee"
"600","good","<= $300",15,"no previous credits","repair",2667,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",38,"no further running credits","free","one","executive/self-employed"
"601","good",">$300",15,"paid back","new car",4715.2,"700-1400","> 8 years","15- 25","single","male",">8 years","ownership of house or land",21,"no further running credits","free","2- 4","skilled employee"
"602","good",">$300",21,"no previous credits","furniture",4424,">1400","> 8 years","< 15","single","male","5-8 years","car",39,"no further running credits","rented","one","skilled employee"
"603","good","no running account",24,"paid back","retraining",1934.8,"<140","5-8 years","< 15","single","male","< 1 year","no assets",24,"no further running credits","rented","2- 4","skilled employee"
"604","bad",">$300",24,"no previous credits","furniture",8320.2,">1400","<1 year","> 35","divorced/living apart/married","female","< 1 year","life insurance",42,"no further running credits","rented","2- 4","skilled employee"
"605","good","no balance",24,"no previous credits","new car",3864,">1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",34,"at other banks","owned","one","skilled employee"
"606","good",">$300",24,"no previous credits","vacation",1311.8,"no savings","<1 year","< 15","married/widowed","male","5-8 years","life insurance",25,"no further running credits","rented","2- 4","unskilled with permanant residence"
"607","good",">$300",30,"no previous credits","furniture",2613.8,">1400","> 8 years","< 15","single","male",">8 years","life insurance",56,"no further running credits","rented","one","skilled employee"
"608","bad","no running account",18,"no previous credits","used car",5814.2,"no savings","1-5 years","25-35","single","male","5-8 years","life insurance",40,"no further running credits","rented","one","skilled employee"
"609","good",">$300",12,"paid back","furniture",2707.6,"no savings","> 8 years","25-35","single","male","1-5 years","ownership of house or land",24,"no further running credits","rented","2- 4","skilled employee"
"610","good","no balance",24,"no problems with current credits","used car",3266.2,">1400","<1 year","< 15","single","male","1-5 years","car",27,"at other banks","rented","one","unskilled with permanant residence"
"611","good",">$300",12,"paid back","used car",2709,"no savings","> 8 years","< 15","single","male",">8 years","no assets",41,"no further running credits","rented","5- 6","skilled employee"
"612","bad",">$300",48,"paid back","other",14177.8,"140-700","1-5 years","25-35","single","male","1-5 years","ownership of house or land",42,"no further running credits","owned","one","skilled employee"
"613","good","<= $300",12,"no previous credits","furniture",1815.8,"no savings","1-5 years","15- 25","married/widowed","male",">8 years","no assets",21,"no further running credits","free","one","skilled employee"
"614","good",">$300",15,"paid back","other",7063,">1400","> 8 years","> 35","divorced/living apart/married","female",">8 years","life insurance",57,"no further running credits","rented","one","skilled employee"
"615","good","no running account",24,"problematic running accounts","other",3255,"<140","5-8 years","25-35","single","male","5-8 years","life insurance",30,"at other banks","rented","one","skilled employee"
"616","bad","no running account",12,"hesistant","furniture",8678.6,"no savings","1-5 years","< 15","single","male","1-5 years","car",26,"no further running credits","free","2- 4","skilled employee"
"617","good","no running account",21,"no previous credits","furniture",3648.4,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","car",26,"no further running credits","free","one","executive/self-employed"
"618","good",">$300",10,"paid back","used car",2896.6,">1400","1-5 years","25-35","married/widowed","male","< 1 year","life insurance",24,"no further running credits","rented","2- 4","skilled employee"
"619","good","no running account",12,"no previous credits","furniture",2352,"140-700","> 8 years","15- 25","married/widowed","male","< 1 year","no assets",33,"no further running credits","rented","one","skilled employee"
"620","good","no balance",6,"paid back","vacation",1304.8,">1400","5-8 years","> 35","divorced/living apart/married","female","5-8 years","car",37,"no further running credits","rented","2- 4","unskilled with permanant residence"
"621","good",">$300",10,"no previous credits","repair",1017.8,"140-700","> 8 years","< 15","single","male",">8 years","ownership of house or land",44,"no further running credits","owned","one","skilled employee"
"622","good","no running account",6,"paid back","other",932.4,"700-1400","5-8 years","15- 25","divorced/living apart/married","female",">8 years","no assets",37,"no further running credits","rented","2- 4","unskilled with permanant residence"
"623","good","no balance",48,"no previous credits","furniture",5570.6,">1400","5-8 years","< 15","single","male","< 1 year","life insurance",39,"no further running credits","rented","2- 4","skilled employee"
"624","good",">$300",24,"no previous credits","new car",7606.2,">1400","unemployed","25-35","divorced/living apart/married","female",">8 years","car",24,"no further running credits","free","one","executive/self-employed"
"625","bad",">$300",36,"no previous credits","used car",4688.6,"no savings","1-5 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",26,"no further running credits","rented","one","executive/self-employed"
"626","bad","no running account",48,"paid back","new car",8863.4,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",44,"no further running credits","owned","2- 4","skilled employee"
"627","good","no balance",36,"paid back","furniture",3271.8,"no savings","> 8 years","< 15","single","male",">8 years","no assets",34,"no further running credits","rented","one","skilled employee"
"628","good",">$300",18,"no previous credits","furniture",2107,"no savings","1-5 years","< 15","single","male","1-5 years","ownership of house or land",30,"no further running credits","owned","one","executive/self-employed"
"629","good","no running account",18,"no previous credits","furniture",3344.6,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","life insurance",25,"at department store","rented","one","skilled employee"
"630","good","no running account",12,"no previous credits","used car",1766.8,">1400","> 8 years","25-35","divorced/living apart","male",">8 years","car",47,"no further running credits","rented","one","unskilled with permanant residence"
"631","good",">$300",36,"no problems with current credits","used car",10749.2,"140-700","5-8 years","25-35","divorced/living apart/married","female",">8 years","life insurance",38,"no further running credits","rented","2- 4","skilled employee"
"632","good",">$300",12,"no previous credits","repair",1950.2,"no savings","> 8 years","< 15","single","male",">8 years","car",45,"at other banks","rented","5- 6","skilled employee"
"633","good",">$300",24,"no previous credits","furniture",2661.4,"<140","1-5 years","< 15","single","male",">8 years","life insurance",27,"no further running credits","free","one","executive/self-employed"
"634","bad","no running account",30,"no previous credits","used car",3368.4,"no savings","5-8 years","< 15","divorced/living apart/married","female",">8 years","no assets",21,"no further running credits","free","one","skilled employee"
"635","good",">$300",18,"paid back","furniture",3365.6,"no savings","1-5 years","25-35","divorced/living apart/married","female","1-5 years","life insurance",24,"no further running credits","rented","2- 4","skilled employee"
"636","bad","no balance",24,"hesistant","retraining",5937.4,"no savings","1-5 years","> 35","single","male",">8 years","no assets",34,"no further running credits","rented","5- 6","unskilled with permanant residence"
"637","good",">$300",30,"no previous credits","new car",6735.4,">1400","5-8 years","25-35","divorced/living apart/married","female",">8 years","car",22,"at department store","free","one","unskilled with permanant residence"
"638","good",">$300",18,"no problems with current credits","furniture",3248,"no savings","unemployed","25-35","married/widowed","male","5-8 years","no assets",32,"no further running credits","rented","2- 4","skilled employee"
"639","good",">$300",18,"no previous credits","new car",4729.2,">1400","1-5 years","25-35","single","male","< 1 year","car",29,"no further running credits","rented","one","skilled employee"
"640","bad","no running account",12,"paid back","used car",3144.4,"no savings","> 8 years","15- 25","single","male","5-8 years","car",58,"no further running credits","rented","2- 4","skilled employee"
"641","bad",">$300",36,"paid back","used car",9977.8,"no savings","<1 year","25-35","divorced/living apart/married","female",">8 years","car",21,"no further running credits","free","2- 4","skilled employee"
"642","good",">$300",15,"no previous credits","used car",3109.4,"140-700","1-5 years","25-35","divorced/living apart/married","female",">8 years","life insurance",18,"no further running credits","free","one","skilled employee"
"643","bad","<= $300",12,"problematic running accounts","retraining",852.6,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","no assets",24,"at other banks","rented","one","unskilled with no permanant residence"
"644","good",">$300",48,"paid back","retraining",10680.6,">1400","> 8 years","< 15","divorced/living apart","male","1-5 years","life insurance",44,"at other banks","rented","2- 4","executive/self-employed"
"645","good","no running account",15,"paid back","used car",2069.2,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",42,"no further running credits","rented","2- 4","skilled employee"
"646","good",">$300",12,"paid back","retraining",1976.8,"no savings","1-5 years","< 15","divorced/living apart/married","female","1-5 years","no assets",27,"no further running credits","rented","2- 4","executive/self-employed"
"647","good",">$300",12,"paid back","furniture",1736,">1400","> 8 years","< 15","divorced/living apart/married","female","1-5 years","no assets",36,"no further running credits","rented","2- 4","skilled employee"
"648","good",">$300",24,"no previous credits","new car",12987.8,">1400","1-5 years","25-35","divorced/living apart","male",">8 years","ownership of house or land",46,"no further running credits","owned","one","skilled employee"
"649","good",">$300",27,"no problems with current credits","retraining",7163.8,"no savings","5-8 years","15- 25","single","male",">8 years","life insurance",24,"no further running credits","rented","2- 4","skilled employee"
"650","good",">$300",24,"no previous credits","other",2135,"700-1400","5-8 years","< 15","divorced/living apart/married","female","5-8 years","life insurance",32,"no further running credits","rented","one","skilled employee"
"651","bad","no running account",24,"no previous credits","furniture",1794.8,"<140","1-5 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",30,"no further running credits","rented","one","unskilled with permanant residence"
"652","good","no balance",9,"no previous credits","furniture",1514.8,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",35,"no further running credits","rented","2- 4","unskilled with permanant residence"
"653","good","no running account",30,"hesistant","used car",6416.2,"no savings","1-5 years","25-35","divorced/living apart","male","1-5 years","no assets",30,"no further running credits","rented","2- 4","skilled employee"
"654","good","no balance",9,"no previous credits","retraining",1947.4,"no savings","1-5 years","25-35","married/widowed","male","< 1 year","no assets",25,"at other banks","rented","one","skilled employee"
"655","good",">$300",24,"paid back","furniture",2122.4,"700-1400","1-5 years","< 15","divorced/living apart/married","female","< 1 year","no assets",41,"no further running credits","rented","2- 4","unskilled with permanant residence"
"656","bad","no running account",24,"no previous credits","other",1919.4,">1400","1-5 years","< 15","divorced/living apart/married","female",">8 years","no assets",23,"no further running credits","free","one","skilled employee"
"657","good",">$300",24,"no previous credits","new car",10939.6,"no savings","5-8 years","15- 25","single","male","5-8 years","life insurance",36,"no further running credits","rented","one","executive/self-employed"
"658","good","<= $300",9,"no previous credits","furniture",1576.4,"<140","> 8 years","25-35","divorced/living apart","male",">8 years","no assets",47,"no further running credits","rented","one","skilled employee"
"659","bad","no running account",20,"paid back","other",3129,"no savings","1-5 years","< 15","married/widowed","male","1-5 years","car",31,"at other banks","free","2- 4","skilled employee"
"660","good",">$300",10,"no previous credits","other",1909.6,"no savings","1-5 years","25-35","divorced/living apart/married","female",">8 years","life insurance",62,"no further running credits","rented","one","skilled employee"
"661","good",">$300",12,"paid back","used car",1962.8,"140-700","5-8 years","15- 25","divorced/living apart/married","female",">8 years","life insurance",35,"no further running credits","free","one","skilled employee"
"662","good",">$300",10,"no previous credits","furniture",2693.6,"no savings","1-5 years","> 35","single","male",">8 years","car",36,"no further running credits","rented","one","skilled employee"
"663","good","no running account",15,"no previous credits","furniture",1474.2,"no savings","<1 year","< 15","married/widowed","male","1-5 years","no assets",25,"no further running credits","rented","one","skilled employee"
"664","good","no balance",7,"no previous credits","furniture",3381,"no savings","1-5 years","15- 25","single","male","1-5 years","no assets",32,"no further running credits","rented","one","skilled employee"
"665","bad","no balance",48,"problematic running accounts","retraining",8982.4,"no savings","> 8 years","< 15","divorced/living apart/married","female","5-8 years","ownership of house or land",57,"no further running credits","free","one","skilled employee"
"666","good",">$300",48,"no problems with current credits","furniture",10133.2,">1400","> 8 years","15- 25","single","male","5-8 years","life insurance",30,"at other banks","rented","2- 4","skilled employee"
"667","bad","no balance",24,"paid back","retraining",2709,"no savings","> 8 years","< 15","divorced/living apart","male",">8 years","no assets",29,"no further running credits","rented","2- 4","skilled employee"
"668","good","no balance",24,"no previous credits","used car",6091.4,">1400","1-5 years","> 35","divorced/living apart/married","female",">8 years","car",46,"no further running credits","rented","one","unskilled with permanant residence"
"669","good","<= $300",12,"problematic running accounts","furniture",572.6,"700-1400","1-5 years","15- 25","divorced/living apart/married","female","5-8 years","no assets",40,"no further running credits","free","2- 4","skilled employee"
"670","bad","no running account",12,"no previous credits","furniture",943.6,"<140","5-8 years","< 15","married/widowed","male","< 1 year","car",18,"no further running credits","rented","one","skilled employee"
"671","bad","no running account",18,"paid back","household appliances",1666,"no savings","unemployed","25-35","divorced/living apart/married","female",">8 years","ownership of house or land",53,"no further running credits","owned","5- 6","unskilled with no permanant residence"
"672","good",">$300",60,"paid back","other",19258.4,">1400","> 8 years","25-35","single","male",">8 years","ownership of house or land",61,"at other banks","owned","one","executive/self-employed"
"673","good","no balance",9,"no previous credits","furniture",641.2,"no savings","1-5 years","< 15","single","male","5-8 years","no assets",22,"no further running credits","rented","one","skilled employee"
"674","good",">$300",6,"no previous credits","household appliances",924,"140-700","5-8 years","25-35","married/widowed","male",">8 years","no assets",21,"no further running credits","free","one","unskilled with permanant residence"
